X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50 X51 X52 X53 X54 X55 X56 X57 X58 X59 X60 X61 X62 X63 X64 X65 X66 X67 X68 X69 X70 X71 X72 X73 X74 X75 X76 X77 X78 X79 X80 X81 X82 X83 X84 X85 X86 X87 X88 X89 X90 X91 X92 X93 X94 X95 X96 X97 X98 X99 X100 Y
-0.077 0.33 -1.799 0.105 0.337 -0.806 1.571 -0.411 -0.763 -0.685 1.216 -0.329 0.865 1.243 0.639 0.548 -0.059 1.051 0.981 -0.05 -1.118 -0.398 0.98 1.278 0.599 -0.428 -0.531 -1.163 -2.644 -0.126 0.307 -0.029 -0.767 -0.803 0.172 0.0060 -0.292 -0.485 -1.122 -0.435 0.71 -0.132 -0.106 0.271 -1.821 -1.255 0.726 -0.389 0.442 1.41 -0.706 -0.759 0.843 -1.687 2.152 -0.278 -0.522 -0.01 0.735 1.288 -0.485 -0.677 0.714 0.623 0.691 -0.308 0.053 0.887 -1.2 -0.26 -1.404 -0.915 -0.0040 0.75 -0.311 0.514 -0.045 0.316 0.986 -0.716 -0.546 0.136 -1.909 0.821 -0.135 -0.229 -0.985 -2.066 -0.679 -0.467 -0.706 0.226 0.178 1.47 1.359 0.777 1.886 -1.249 0.502 -1.236 1
0.876 -0.442 1.014 0.822 0.729 -1.496 -0.913 1.365 0.062 -0.329 -0.563 0.055 -1.56 0.713 -1.268 1.295 0.103 0.444 -0.497 -0.402 -0.704 0.863 0.742 0.755 0.21 -1.889 1.051 1.97 0.333 -0.926 -1.164 0.04 -1.487 0.058 -0.91 -0.305 0.527 1.278 -0.143 -2.022 -0.493 -1.453 1.203 -2.131 0.039 2.238 0.464 -1.461 1.271 -0.065 -1.842 -1.155 -1.27 0.524 -0.8 0.815 0.518 -0.374 1.107 -0.9 -1.001 0.176 -0.699 -0.323 0.925 -0.112 -1.539 -0.127 -0.315 -0.952 -0.809 0.154 -0.968 0.308 0.997 -0.674 0.239 -2.386 -0.328 1.047 0.0060 1.671 0.759 1.51 0.388 -1.184 -0.309 -2.024 1.138 -0.761 -0.198 -0.506 0.515 -0.477 -0.391 -0.603 0.52 0.351 1.023 0.602 -1
0.064 -1.398 -0.032 2.217 -1.021 1.743 -0.741 -0.497 0.788 0.326 0.13 -0.578 -1.749 -0.594 -0.609 -0.974 0.894 0.349 -1.079 -0.542 -0.184 0.489 -0.453 0.874 -0.405 0.215 1.425 -0.165 -0.351 -1.388 0.339 1.553 0.801 -1.313 -1.994 -0.218 0.25 0.158 0.076 -0.347 -1.284 1.591 0.03 -0.392 0.539 0.159 -0.023 1.016 -0.122 -0.655 -1.069 0.307 0.541 -0.373 1.859 1.674 0.439 0.816 0.694 2.637 0.865 2.182 1.34 -0.805 -0.758 0.454 0.21 1.167 0.424 1.131 0.268 1.399 -0.544 0.311 0.394 -2.094 2.992 -0.825 -0.306 -0.844 0.925 0.919 0.898 -0.41 0.565 -1.304 0.571 0.451 -3.034 0.197 0.572 -1.009 0.514 -0.802 -1.415 1.478 -1.37 -0.129 -1.025 1.706 1
0.43 0.821 -0.459 -0.118 0.031 -0.203 2.967 0.652 1.3 0.523 0.242 0.209 -0.678 -2.103 0.96 1.04 -0.144 -0.544 -0.85 -2.777 1.031 0.567 0.447 -0.371 -0.189 0.422 -0.841 1.555 -0.093 0.563 -0.841 0.15 -1.742 0.87 -0.978 -0.348 -0.985 -0.098 0.037 1.358 -0.533 0.75 0.875 0.219 -0.697 0.062 -0.037 -0.205 1.641 -0.468 -0.15 2.502 1.384 -0.636 -1.701 -0.302 1.515 -1.128 1.144 0.316 0.331 0.564 -0.641 0.782 0.655 -0.433 1.971 -1.223 0.506 0.649 0.219 -1.369 -0.596 -0.039 1.395 1.877 1.237 0.962 -0.804 0.68 0.425 -1.671 0.056 0.129 -0.223 0.262 0.969 -1.279 0.76 1.164 0.073 1.119 -0.289 -1.249 1.963 1.589 1.411 0.26 -0.556 2.692 -1
0.146 0.559 0.606 -1.013 0.591 -1.618 -1.587 -0.13 -1.024 1.358 0.676 -0.417 -0.335 -0.886 0.785 -0.723 -0.042 -2.112 0.839 0.778 -0.125 -1.89 -1.216 0.748 0.976 -0.054 1.336 0.979 -0.101 0.525 -0.48 1.611 -0.72 -0.346 0.773 0.708 -0.142 0.696 -0.58 -0.216 1.065 0.347 0.216 -0.532 -1.39 0.374 0.72 0.496 -0.078 -1.745 -0.409 -0.663 1.241 -1.013 1.357 -0.086 -0.669 1.556 0.997 -0.102 1.014 -1.138 -0.498 -1.951 0.017 -0.419 -1.817 0.214 -0.928 0.92 -1.407 -2.427 0.07 -1.902 0.596 -0.792 -1.178 -0.956 0.39 -0.0060 -2.101 2.332 0.537 1.581 0.712 -0.707 0.484 0.314 1.585 0.853 -0.071 -1.201 -1.731 -0.71 -2.798 0.062 -0.383 1.719 0.972 -0.483 -1
1.283 1.92 -0.071 -0.741 2.399 -1.42 -0.535 -0.435 -0.122 0.803 -1.528 -1.712 -0.619 0.619 -0.367 0.132 -1.598 0.243 -1.698 1.075 1.583 0.02 -1.209 -1.911 -0.274 0.256 1.344 -0.015 -0.671 0.581 -0.102 0.772 -0.334 0.815 0.909 1.063 2.003 0.928 1.708 -0.334 -1.243 -0.218 -1.262 0.121 0.143 -0.586 1.119 0.796 -0.408 0.285 0.364 1.514 1.519 -1.546 -0.258 1.598 -1.602 0.237 -0.678 0.013 -0.153 0.477 1.903 0.697 0.534 0.334 -0.159 -1.196 3.269 1.198 0.716 -0.931 0.055 0.922 -0.136 0.848 -0.546 0.305 -0.134 -1.013 0.87 -0.803 1.351 0.016 -0.634 -0.341 0.0070 1.799 0.878 -1.424 -1.06 1.638 -0.643 -0.542 0.566 -0.273 -0.388 -0.229 -1.561 -0.885 1
0.354 -1.515 2.151 0.439 -2.092 0.863 0.907 -0.924 0.47 -0.556 0.598 1.136 -0.427 0.508 0.86 0.739 -0.234 1.807 -0.371 -1.223 -0.355 0.824 -0.726 -1.283 0.861 0.811 0.332 0.51 -0.539 0.196 -0.063 1.181 0.164 -0.893 1.616 0.653 0.903 -1.116 -1.158 -0.186 0.396 1.819 0.038 0.282 0.901 0.544 1.387 2.14 0.433 -0.307 0.426 -1.256 0.812 -0.562 -2.045 -0.041 -0.626 0.553 -0.816 -0.163 -0.77 0.529 0.687 -1.08 -0.023 -0.513 -2.233 -0.488 0.613 -1.198 0.667 -1.618 1.326 0.698 -0.062 -0.455 0.234 1.536 -0.346 0.814 1.617 0.802 1.184 0.675 0.048 0.609 -0.171 -0.523 -1.623 0.619 0.448 1.73 0.441 -0.525 -1.562 0.402 -0.308 -0.738 -1.881 -2.082 -1
-1.416 -0.754 -0.316 -0.12 1.38 -0.0030 -0.03 -1.019 -0.38 0.555 1.876 1.279 1.467 0.353 0.719 -0.964 0.618 0.482 0.474 -0.233 1.331 -1.182 0.419 0.379 -0.659 1.138 -0.519 0.037 0.166 0.794 -1.459 0.83 -0.527 -0.321 1.024 0.539 1.331 0.791 -2.255 1.141 -0.591 -0.741 -2.07 1.346 -1.636 0.557 0.163 -0.0020 1.51 -1.608 0.773 1.022 -1.062 0.507 -0.546 -0.05 -1.903 0.84 -0.822 -0.969 -1.538 0.621 -0.492 -1.353 0.503 -0.413 -1.657 0.128 0.398 -0.272 1.22 0.06 0.574 0.205 -0.467 0.128 1.152 1.088 -0.374 -0.119 0.871 -0.078 -0.926 0.753 0.402 0.352 -0.538 -0.198 0.831 -0.711 -0.386 0.692 -0.652 1.946 0.205 1.046 2.58 -0.418 -1.604 -0.932 1
0.378 -0.336 0.327 0.057 -0.563 -0.567 -0.449 -0.391 0.317 1.979 0.768 0.806 1.464 1.484 -2.933 -1.083 1.512 -0.266 1.032 0.267 0.104 1.7 -1.418 -2.071 -1.193 0.539 -2.611 -1.317 1.11 0.325 -1.142 -1.427 -1.194 -0.676 0.207 0.621 -0.187 -0.916 -1.124 -0.0020 1.018 0.271 0.173 -0.788 -0.94 -0.973 -1.51 1.339 0.059 -0.427 0.098 1.117 -0.965 -0.59 0.367 0.645 -1.274 -1.532 0.634 0.62 2.277 -0.255 -0.12 -0.856 -2.014 -0.0020 0.593 0.249 -0.088 1.855 2.428 -0.547 1.193 -1.34 -0.201 1.304 -0.172 0.382 1.104 -1.727 1.73 -0.838 -2.102 -0.921 0.011 0.07 -0.659 -0.364 -0.55 -0.336 0.0070 1.138 1.056 0.141 1.011 1.331 2.156 2.06 -0.16 0.433 1
0.445 -1.2 -0.057 -2.649 1.314 1.296 -0.132 -0.491 1.226 0.658 0.041 -0.656 1.395 1.182 -1.093 0.117 0.683 0.938 0.602 -0.933 -1.239 0.322 0.02 -1.724 0.19 0.666 -0.649 0.622 -1.237 -0.016 -1.381 0.499 -1.272 -0.678 1.752 1.089 -0.539 -0.536 0.137 -0.798 0.171 -1.365 0.23 0.38 -0.543 -0.882 -0.844 0.644 -0.223 0.797 -0.466 -3.002 0.073 0.762 -0.868 1.053 -0.79 -0.719 0.715 0.53 -0.212 0.909 -0.948 -0.742 -0.209 -0.397 0.252 -0.099 -1.605 1.425 -1.295 -0.151 1.196 0.014 1.336 -0.118 0.983 0.225 -0.698 -1.856 0.59 -0.56 -0.842 -0.811 -0.905 -0.18 -0.47 0.668 -0.61 -0.201 -0.342 1.612 0.531 -0.81 -0.333 -0.603 1.668 -0.528 -0.326 0.656 1
0.852 1.248 -0.152 -1.196 1.295 1.599 1.465 0.718 -0.453 -1.44 -1.699 -1.286 -2.655 -0.495 0.623 1.955 1.048 -1.149 -0.951 1.196 -0.062 0.748 -0.407 0.628 -0.381 0.647 0.054 -1.943 1.321 1.724 0.648 0.26 1.55 -1.066 -0.748 -1.885 -1.152 0.491 -0.051 -0.774 2.027 0.308 0.233 -1.341 0.687 -0.06 0.771 -0.776 0.525 -0.49 -1.355 -1.174 0.971 -0.794 -0.147 1.411 -0.371 -2.227 -0.041 -0.73 -0.154 -0.92 2.081 0.352 -0.311 -0.498 0.118 -0.678 0.822 2.532 -0.377 -1.523 -0.883 -0.483 0.964 -0.702 -0.382 1.84 0.062 -0.237 0.155 0.153 0.674 -0.506 -1.392 0.681 -0.392 0.246 -0.616 0.145 0.172 -0.645 -1.111 -0.221 -0.0080 -1.332 0.619 -2.342 1.863 0.22 -1
-0.223 1.687 0.74 -1.531 -0.036 -0.41 0.197 1.882 0.687 -0.939 0.375 0.825 1.516 -0.376 -0.288 0.647 0.089 -0.22 -0.188 -2.159 0.274 0.081 0.737 0.278 -0.272 0.61 -1.121 -0.061 -1.011 1.148 0.988 -1.98 -0.67 -1.47 -0.434 0.0 0.252 -0.93 -1.534 0.126 0.28 -1.203 -0.742 -1.107 0.127 -0.168 1.629 1.076 -0.0080 -0.519 -2.555 0.197 -0.918 -0.193 -0.397 -0.391 0.276 -0.782 -1.025 -1.107 -0.265 -1.347 -1.3 -1.108 1.87 -0.756 -0.054 -1.02 0.226 -0.304 -0.332 0.109 -0.393 -0.828 0.906 -1.009 0.386 -1.109 1.311 -1.317 -0.309 -0.125 1.376 -0.319 0.233 0.34 -1.234 0.428 0.651 1.334 0.025 0.993 -1.257 -0.26 0.446 -0.864 -1.123 -0.173 0.76 0.037 -1
-0.193 1.631 -1.059 -0.437 0.29 0.574 -1.231 0.312 0.424 -0.258 1.273 1.172 -0.288 0.0020 -0.753 1.285 -1.015 1.251 -0.312 0.425 0.454 -1.053 0.63 -0.308 1.425 -2.824 -0.702 0.249 -0.623 0.901 1.22 2.361 0.711 -0.86 0.023 -1.493 0.35 1.229 -0.04 0.389 -0.987 -0.917 -1.855 -0.089 1.851 -1.13 -0.769 -0.368 1.038 -1.692 0.057 -1.593 1.044 -1.324 -2.961 -0.623 1.101 0.115 0.0050 -1.194 0.481 -0.635 0.601 1.232 1.534 -2.057 0.992 0.447 -0.514 0.591 0.863 0.438 -0.162 -0.532 0.678 -0.109 0.155 -1.649 -0.112 0.71 -0.061 -0.149 0.131 -0.277 -1.55 0.516 -1.796 -0.429 0.374 1.325 1.814 -0.428 -0.986 -0.456 -1.292 0.737 0.116 -0.562 1.582 -1.441 -1
0.404 -0.984 1.183 0.388 0.583 0.149 -0.709 -0.389 1.827 0.316 0.151 -0.387 -0.1 -0.881 -0.526 0.264 -0.476 -0.091 0.644 1.816 0.281 -0.071 -0.559 -0.098 2.585 0.682 0.121 -0.548 -0.55 -0.227 0.833 -0.259 0.643 -0.908 -0.175 -0.13 -0.521 0.943 -1.488 -1.746 0.312 -0.136 1.477 1.042 0.914 0.057 0.742 0.06 -0.94 -0.456 0.814 -1.036 0.594 0.571 0.503 1.91 0.325 1.102 0.293 -0.64 -1.243 -0.499 -1.658 1.068 -1.367 0.955 0.582 -0.611 0.932 -0.17 -0.576 -0.587 0.407 -0.497 0.59 -1.379 -1.245 -0.305 -0.024 0.11 -0.436 -0.138 -1.408 0.213 -0.953 0.181 -0.82 -0.759 -0.175 2.563 0.8 -0.669 -0.821 -0.111 -0.174 -0.751 -0.588 0.21 0.262 0.869 -1
-1.123 -0.019 0.746 -0.786 -0.326 0.095 0.047 -0.472 1.864 0.209 -1.037 0.027 -0.014 1.514 0.962 -0.482 1.192 -1.311 -0.085 0.316 0.674 0.307 -0.211 -0.128 -0.117 0.344 0.0050 -1.272 1.328 0.889 0.64 -0.266 0.118 0.976 -0.586 -1.07 1.59 -0.944 0.609 1.43 -0.779 -0.7 0.498 -0.391 -0.92 0.452 0.025 0.153 -1.365 0.705 0.499 -0.081 -0.327 -0.034 -0.294 0.057 1.675 -0.403 -0.836 -0.099 1.05 1.309 -0.135 -1.358 1.418 -0.587 0.136 -0.749 0.587 0.692 -1.319 0.484 -0.784 -1.157 -1.829 -0.978 0.685 0.495 0.439 1.211 0.771 0.741 -0.819 -0.705 -1.156 -0.323 0.851 1.05 -0.089 -1.104 -2.33 -0.463 -1.764 -1.195 -0.961 1.569 -0.186 -0.64 1.274 0.654 1
2.191 0.343 0.255 0.304 1.548 -0.432 -0.877 0.353 0.34 -1.209 0.231 0.41 -1.673 -0.443 -0.5 0.532 -0.833 0.128 1.067 -1.653 -0.574 0.053 0.576 1.6 0.0 0.428 0.367 0.864 -0.51 0.385 -0.877 0.339 -1.851 1.164 -1.69 0.179 1.129 -0.529 -0.316 0.099 -0.329 -0.204 -0.189 0.807 -0.226 -1.609 1.356 0.022 1.204 -1.354 0.537 -1.359 0.847 -1.354 0.876 -0.681 1.282 0.196 0.502 0.771 0.083 -0.114 1.087 0.203 0.712 -1.196 0.856 -1.241 -0.18 -2.395 -1.693 -0.247 -0.655 -0.071 -1.176 0.291 -1.806 0.252 -0.136 0.107 -0.027 -0.169 -2.107 -0.066 -0.667 0.155 1.217 -1.7 -0.07 0.825 0.479 0.592 -1.451 -1.005 1.355 0.702 -0.481 1.164 -0.642 -1.671 1
1.118 0.276 -0.298 0.168 -0.544 -0.528 0.66 1.691 -2.488 -0.827 -0.123 0.694 1.988 -0.281 -1.419 -0.651 1.605 -1.339 -1.089 -0.932 -0.643 1.058 -0.448 0.315 -1.057 -0.07 0.106 0.265 -0.394 -0.138 -0.82 -0.329 -1.29 1.596 -0.714 -1.683 0.351 -1.23 -0.448 -1.051 -1.185 1.782 0.16 1.2 0.288 0.19 0.916 -0.958 -0.17 0.336 -0.446 0.689 0.473 0.012 -0.095 1.361 -2.389 1.316 0.718 0.113 -0.124 0.18 -0.366 0.814 0.034 0.681 -0.334 0.51 1.141 -0.241 0.835 -0.421 -1.387 1.757 1.838 0.0080 -0.832 0.047 -0.572 2.762 -0.659 0.606 1.618 -2.057 1.168 -0.632 0.655 -1.013 -0.406 -0.046 0.666 -0.511 -0.282 1.726 0.318 -0.33 0.229 -0.446 -0.99 -0.02 1
-0.096 -1.984 -0.232 0.575 0.744 1.458 1.15 -0.962 1.262 0.18 -0.312 0.934 -0.503 0.886 -1.716 -0.406 1.95 -0.719 -0.599 1.053 -1.021 -0.423 0.736 -0.723 -1.099 -0.098 0.898 0.866 2.004 0.175 -0.727 0.349 0.76 1.351 -0.241 -0.413 2.817 -0.571 0.734 1.769 -0.399 -1.801 1.51 -1.264 -0.445 -0.782 -0.814 -0.145 -0.03 -0.719 -0.093 -0.56 -0.322 0.483 1.076 0.681 -1.678 -0.857 -0.047 -1.348 1.083 -1.203 0.797 -0.148 -1.265 -0.41 0.378 -1.486 2.087 -1.952 -0.919 1.727 1.275 -0.557 1.527 -0.044 -0.163 -0.199 -0.05 -0.711 -0.205 -0.718 -1.17 2.6 -0.088 1.513 -0.327 0.813 0.392 -0.301 0.411 -0.051 -1.197 -0.787 1.339 0.042 -0.273 -0.066 -0.25 1.404 1
-0.747 -1.216 0.375 2.068 -0.237 0.653 0.297 -0.203 -0.172 1.128 0.921 0.499 -0.274 0.817 -1.136 -0.494 -0.0070 0.581 1.188 -0.616 -0.517 0.145 0.711 0.26 -0.536 -0.868 -1.888 -0.353 1.14 -1.007 -1.108 -0.223 -0.996 0.288 1.537 0.514 1.595 -0.076 0.353 0.646 -0.266 -0.667 0.466 -2.163 -1.727 -0.524 -1.925 -1.377 0.088 0.065 -1.53 -0.543 -1.592 -0.093 -1.213 -0.707 -1.157 1.286 0.748 -0.033 0.177 -1.141 0.585 -0.489 0.292 1.011 -0.14 0.454 0.464 0.971 -1.652 0.894 -0.533 0.146 0.245 0.078 -1.2 0.251 1.706 -0.292 0.235 0.761 -1.526 1.119 1.478 -0.392 1.207 0.106 0.747 0.961 -0.829 0.155 -2.016 1.062 0.896 1.144 0.852 0.238 -0.09 1.845 1
